,nadq100,nadq_comp,sp500,rus2000,VIX,30yr_yield,10yr_yield,5yr_yield,copper,oil,gold,Dollar
916,12722.76953125,13042.587890625,3834.75,2222.291259765625,25.920000076293945,2.25600004196167,1.4830000400543213,0.7400000095367432,4.047999858856201,64.45999908447266,1713.0,91.08499908447266
917,12681.26953125,12995.94140625,3819.469970703125,2208.206298828125,26.59000015258789,2.245000123977661,1.472000002861023,0.7300000190734863,3.989000082015991,64.37000274658203,1697.5,91.45999908447266
918,12602.91015625,12873.1279296875,3808.0400390625,2184.4560546875,27.18000030517578,2.252000093460083,1.4700000286102295,0.7269999980926514,3.9014999866485596,63.849998474121094,1688.199951171875,91.66500091552734
919,12708.9443359375,12964.80078125,3824.60009765625,2183.8603515625,26.31999969482422,2.2739999294281006,1.4859999418258667,0.7329999804496765,3.9375,64.12999725341797,1696.5999755859375,91.6500015258789
920,12607.26171875,12880.6923828125,3809.800048828125,2180.07421875,26.739999771118164,2.256999969482422,1.468999981880188,0.7170000076293945,3.934999942779541,64.18000030517578,1694.800048828125,91.62999725341797
921,12495.9541015625,12735.494140625,3771.639892578125,2143.830078125,28.770000457763672,2.254999876022339,1.4709999561309814,0.722000002861023,4.081999778747559,65.87999725341797,1691.5999755859375,92.01499938964844
922,12472.1787109375,12727.5634765625,3765.669921875,2144.26025390625,28.6200008392334,2.25600004196167,1.4760000705718994,0.7170000076293945,4.072999954223633,65.70999908447266,1695.0,92.05500030517578
923,12465.8935546875,12715.333984375,3763.35009765625,2139.490966796875,28.989999771118164,2.304999828338623,1.5350000858306885,0.7619999647140503,4.042500019073486,65.9800033569336,1694.800048828125,92.00499725341797
924,12470.9404296875,12729.78515625,3769.659912109375,2146.520751953125,28.6299991607666,2.315000057220459,1.5479999780654907,0.7820000052452087,4.078000068664551,65.9800033569336,1700.9000244140625,92.00499725341797
925,12362.2109375,12583.5986328125,3765.35009765625,2124.4423828125,28.34000015258789,2.309000015258789,1.5499999523162842,0.7820000052452087,4.077499866485596,66.08999633789062,1696.5,91.98500061035156
926,12231.4658203125,12419.33984375,3734.860107421875,2088.878173828125,29.940000534057617,2.3239998817443848,1.5989999771118164,0.8229999542236328,4.0854997634887695,66.16000366210938,1696.9000244140625,92.00499725341797
927,12453.0654296875,12680.7353515625,3784.429931640625,2140.9677734375,27.5,2.2950000762939453,1.5779999494552612,0.8149999380111694,4.09250020980835,66.26000213623047,1696.0999755859375,91.9749984741211
928,12590.8388671875,12824.8232421875,3811.64990234375,2162.754638671875,26.290000915527344,2.2890000343322754,1.5750000476837158,0.8180000185966492,4.051499843597412,65.45999908447266,1683.199951171875,92.23500061035156
929,12596.0712890625,12831.728515625,3821.47998046875,2166.97412109375,25.549999237060547,2.2879998683929443,1.5640000104904175,0.8029999732971191,4.091000080108643,65.2300033569336,1678.0999755859375,92.36000061035156
930,12660.322265625,12900.953125,3837.260009765625,2179.09814453125,24.790000915527344,2.2879998683929443,1.556999921798706,0.7870000004768372,4.0920000076293945,65.12000274658203,1676.5,92.42500305175781
931,12665.6748046875,12917.3017578125,3841.580078125,2191.15380859375,24.81999969482422,2.2879998683929443,1.555999994277954,0.7889999747276306,4.0954999923706055,64.91000366210938,1677.4000244140625,92.33999633789062
932,12687.3486328125,12965.3818359375,3872.090087890625,2219.40576171875,24.43000030517578,2.2879998683929443,1.5540000200271606,0.7849999666213989,4.0894999504089355,64.61000061035156,1677.0999755859375,92.3550033569336
933,12629.8974609375,12924.798828125,3876.06005859375,2229.611328125,24.260000228881836,2.2909998893737793,1.5870000123977661,0.8279999494552612,4.090000152587891,64.8499984741211,1681.5,92.33000183105469
934,12566.8310546875,12867.0078125,3873.530029296875,2232.03662109375,24.329999923706055,2.3010001182556152,1.5959999561309814,0.8390000462532043,4.074999809265137,64.63999938964844,1677.0999755859375,92.43499755859375
935,12560.1416015625,12853.478515625,3877.699951171875,2230.484619140625,24.15999984741211,2.2940001487731934,1.5920000076293945,0.8390000462532043,4.006499767303467,64.33999633789062,1716.0,91.98500061035156
936,12482.9150390625,12780.94921875,3862.2900390625,2220.614501953125,24.739999771118164,2.309000015258789,1.6010000705718994,0.8489999771118164,3.996000051498413,64.88999938964844,1711.300048828125,92.0999984741211
937,12350.298828125,12649.92578125,3835.330078125,2201.865966796875,25.610000610351562,2.312999963760376,1.6030000448226929,0.8489999771118164,3.992500066757202,64.33999633789062,1713.4000244140625,92.09500122070312
938,12288.279296875,12599.740234375,3820.31005859375,2201.520263671875,26.200000762939453,2.308000087738037,1.5959999561309814,0.8500000238418579,4.010000228881836,64.13999938964844,1714.800048828125,92.05500030517578
939,12755.498046875,13051.31640625,3887.22998046875,2244.58447265625,23.389999389648438,2.308000087738037,1.5959999561309814,0.8500000238418579,4.006999969482422,64.02999877929688,1714.199951171875,92.01000213623047
940,12749.642578125,13049.72265625,3891.330078125,2255.54248046875,23.239999771118164,2.2669999599456787,1.5369999408721924,0.8170000314712524,4.011499881744385,64.06999969482422,1715.0,91.96499633789062
941,12788.59765625,13082.345703125,3900.1201171875,2256.530517578125,23.049999237060547,2.252000093460083,1.5299999713897705,0.8119999766349792,4.013500213623047,63.880001068115234,1714.199951171875,91.9749984741211
942,12829.9248046875,13112.99609375,3898.449951171875,2253.099853515625,23.049999237060547,2.2760000228881836,1.559000015258789,0.8390000462532043,4.038000106811523,64.91000366210938,1716.0999755859375,91.90499877929688
943,12811.9208984375,13091.037109375,3894.530029296875,2250.855712890625,23.360000610351562,2.2790000438690186,1.555999994277954,0.8339999914169312,4.027500152587891,64.13999938964844,1716.800048828125,92.02999877929688
944,12853.896484375,13139.001953125,3894.679931640625,2260.54541015625,23.260000228881836,2.2709999084472656,1.555999994277954,0.831000030040741,4.021500110626221,63.400001525878906,1717.4000244140625,92.01499938964844
945,12784.7236328125,13066.625,3873.93994140625,2245.454345703125,23.8799991607666,2.2660000324249268,1.5439999103546143,0.8180000185966492,4.0295000076293945,63.7400016784668,1717.5,91.95500183105469
946,12799.7060546875,13099.4033203125,3888.389892578125,2278.984375,23.059999465942383,2.259000062942505,1.5460000038146973,0.8209999799728394,4.0335001945495605,64.33000183105469,1721.699951171875,91.9000015258789
